distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
920.0000,0.1628,77.3044,0.0352,0.1242,0.6333,266.0943,10.2190
921.2500,0.1729,101.2886,0.0341,0.1039,0.5787,265.3293,10.8620
922.5000,0.1818,120.0682,0.0338,0.0952,0.5468,265.7871,11.2430
923.7500,0.2225,171.6465,0.0380,0.0711,0.4854,272.3587,11.8122
925.0000,0.2416,99.9195,0.0774,0.0686,0.5814,276.1533,10.2968
926.2500,0.2200,71.4039,0.0923,0.0770,0.6503,274.0796,9.6237
927.5000,0.2225,85.0186,0.0556,0.1029,0.6135,273.9075,10.0274
928.7500,0.2429,81.6617,0.0468,0.1359,0.6218,276.3818,9.8122
930.0000,0.2670,139.6964,0.0367,0.1103,0.5199,279.9739,10.9335
931.2500,0.3128,150.9754,0.0369,0.1142,0.5066,286.6080,10.8240
932.5000,0.2645,77.0928,0.0517,0.1410,0.6339,278.5890,9.5701
933.7500,0.2632,65.1511,0.0541,0.1607,0.6705,278.1634,9.2039
935.0000,0.2925,126.2019,0.0402,0.1204,0.5378,283.1891,10.5360
936.2500,0.2314,129.2082,0.0400,0.0934,0.5336,274.4248,11.0009
937.5000,0.2352,129.8020,0.0335,0.1074,0.5328,275.0388,10.9830
938.7500,0.2581,110.0003,0.0317,0.1452,0.5630,278.3815,10.4223
940.0000,0.2785,70.5113,0.0550,0.1472,0.6530,279.6236,9.3112
941.2500,0.2658,112.3538,0.0460,0.1094,0.5591,279.4166,10.4254
942.5000,0.2378,90.9131,0.0496,0.1130,0.6000,275.7189,10.0945
943.7500,0.2124,44.2448,0.0714,0.1551,0.7628,275.2410,8.5586
945.0000,0.1869,36.6215,0.0687,0.1721,0.8124,275.6059,8.2327
946.2500,0.1628,33.2888,0.0811,0.1462,0.8386,276.3577,8.1073
947.5000,0.1844,37.5969,0.0765,0.1521,0.8053,275.3033,8.3019
948.7500,0.1450,33.8022,0.0751,0.1472,0.8344,275.9839,8.2189
950.0000,0.1297,26.2542,0.0680,0.1810,0.9077,281.5119,7.6764
951.2500,0.1577,34.9153,0.0647,0.1624,0.8254,275.6180,8.2399
952.5000,0.1488,64.3317,0.0464,0.1160,0.6733,266.2150,9.8409
953.7500,0.1869,81.9094,0.0415,0.1197,0.6212,269.2558,10.1784
955.0000,0.1946,60.5162,0.0505,0.1388,0.6872,272.2153,9.3711
956.2500,0.1907,77.3723,0.0453,0.1173,0.6331,270.1721,10.0048
957.5000,0.1971,215.1648,0.0249,0.0776,0.4502,266.1165,12.7118
958.7500,0.1920,47.1507,0.0634,0.1439,0.7468,273.7483,8.7907
960.0000,0.2098,38.6499,0.0752,0.1610,0.7979,275.7956,8.2699
