# Exported by snowmicropyn 1.2.1 (git hash 25c665906cd9d26085fa9eab6ba842a7f4b41101)
distance [mm],force [N]
3.1694,0.0547
3.1736,0.0547
3.1777,0.0572
3.1818,0.0585
3.1860,0.0534
3.1901,0.0496
3.1942,0.0560
3.1983,0.0521
3.2025,0.0585
3.2066,0.0547
3.2107,0.0521
3.2149,0.0560
3.2190,0.0585
3.2231,0.0560
3.2273,0.0534
3.2314,0.0547
3.2355,0.0572
3.2397,0.0572
3.2438,0.0560
3.2479,0.0560
3.2521,0.0509
3.2562,0.0534
3.2603,0.0560
3.2645,0.0534
3.2686,0.0534
3.2727,0.0560
3.2769,0.0534
3.2810,0.0547
3.2851,0.0560
3.2893,0.0534
3.2934,0.0547
3.2975,0.0560
3.3017,0.0547
3.3058,0.0521
3.3099,0.0547
3.3140,0.0560
3.3182,0.0521
3.3223,0.0521
3.3264,0.0547
3.3306,0.0572
3.3347,0.0560
3.3388,0.0547
3.3430,0.0572
3.3471,0.0585
3.3512,0.0521
3.3554,0.0534
3.3595,0.0560
3.3636,0.0547
3.3678,0.0534
3.3719,0.0534
3.3760,0.0572
3.3802,0.0585
3.3843,0.0560
3.3884,0.0547
3.3926,0.0534
3.3967,0.0572
3.4008,0.0560
3.4050,0.0560
3.4091,0.0547
3.4132,0.0534
3.4174,0.0547
3.4215,0.0560
3.4256,0.0509
3.4298,0.0560
3.4339,0.0585
3.4380,0.0534
3.4421,0.0534
3.4463,0.0560
3.4504,0.0585
3.4545,0.0572
3.4587,0.0521
3.4628,0.0547
3.4669,0.0547
3.4711,0.0560
3.4752,0.0572
3.4793,0.0560
3.4835,0.0521
3.4876,0.0509
3.4917,0.0547
3.4959,0.0610
3.5000,0.0572
3.5041,0.0496
3.5083,0.0521
3.5124,0.0598
3.5165,0.0598
3.5207,0.0547
3.5248,0.0483
3.5289,0.0496
3.5331,0.0560
3.5372,0.0585
3.5413,0.0547
3.5455,0.0534
3.5496,0.0521
3.5537,0.0572
3.5579,0.0623
3.5620,0.0521
3.5661,0.0521
3.5702,0.0560
3.5744,0.0572
3.5785,0.0572
3.5826,0.0534
3.5868,0.0547
3.5909,0.0560
3.5950,0.0572
3.5992,0.0560
3.6033,0.0534
3.6074,0.0534
3.6116,0.0572
