distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
872.5000,0.2937,121.5194,0.0473,0.1050,0.5447,283.2040,10.4427
873.7500,0.2467,60.0560,0.0615,0.1383,0.6889,276.7782,9.0955
875.0000,0.2098,78.7508,0.0530,0.1075,0.6294,272.5566,9.9210
876.2500,0.2556,36.5863,0.0957,0.1605,0.8127,276.8715,8.0175
877.5000,0.2810,38.4598,0.0910,0.1769,0.7992,277.4697,8.0525
878.7500,0.2696,61.6294,0.0784,0.1229,0.6830,278.5307,9.0575
880.0000,0.2848,70.6252,0.0744,0.1111,0.6527,280.1571,9.2883
881.2500,0.2912,77.9167,0.0592,0.1303,0.6316,281.1046,9.4726
882.5000,0.3014,97.1012,0.0536,0.1202,0.5870,283.0971,9.9039
883.7500,0.3230,76.8267,0.0664,0.1308,0.6346,283.6948,9.3153
885.0000,0.3675,105.5563,0.0592,0.1229,0.5708,290.1023,9.7928
886.2500,0.4680,45.0730,0.1026,0.2107,0.7581,283.5569,7.9712
887.5000,0.5175,84.1805,0.0840,0.1517,0.6156,297.4758,8.9206
888.7500,0.6205,104.4265,0.0876,0.1370,0.5729,307.3243,9.0491
890.0000,0.7680,439.9833,0.0343,0.1014,0.3547,344.4832,10.9268
891.2500,0.8520,455.5772,0.0408,0.0923,0.3506,351.2697,10.7299
892.5000,0.9461,601.6773,0.0344,0.0921,0.3196,362.6230,10.8598
893.7500,0.9906,515.5553,0.0384,0.1015,0.3364,362.7032,10.5400
895.0000,1.0491,501.5447,0.0370,0.1140,0.3396,365.6980,10.3682
896.2500,1.0974,190.8244,0.0588,0.1940,0.4686,345.0747,9.0669
897.5000,1.0796,121.2802,0.0731,0.2444,0.5450,330.6290,8.5375
898.7500,1.0300,180.3382,0.0572,0.2006,0.4775,340.6316,9.0973
900.0000,0.9868,252.2291,0.0453,0.1745,0.4270,347.2238,9.6047
901.2500,0.8621,196.4764,0.0541,0.1672,0.4641,334.7385,9.5041
902.5000,0.7553,272.9899,0.0374,0.1485,0.4159,335.1728,10.2329
903.7500,0.6460,131.1263,0.0649,0.1534,0.5310,313.5519,9.3564
905.0000,0.5646,105.7218,0.0565,0.1962,0.5705,304.4367,9.1947
906.2500,0.6282,103.5190,0.0587,0.2131,0.5746,307.5387,9.0192
907.5000,0.6015,91.7411,0.0819,0.1619,0.5982,303.5531,8.8816
908.7500,0.5417,76.4521,0.0678,0.2106,0.6356,296.8270,8.7071
910.0000,0.5214,195.2138,0.0528,0.1024,0.4651,311.3846,10.3948
911.2500,0.4858,165.1770,0.0487,0.1222,0.4917,305.9247,10.2158
912.5000,0.4641,94.4636,0.0581,0.1684,0.5924,296.2233,9.2583
913.7500,0.4412,84.9976,0.0587,0.1748,0.6136,293.1671,9.1303
915.0000,0.4883,144.7267,0.0815,0.0856,0.5138,304.3080,9.9623
916.2500,0.5862,244.8899,0.0941,0.0527,0.4312,320.3557,10.5690
917.5000,0.5417,213.7876,0.1087,0.0488,0.4512,314.4785,10.4859
918.7500,0.4031,111.1094,0.0894,0.0834,0.5612,293.7622,9.7594
920.0000,0.3421,103.8919,0.0761,0.0915,0.5739,287.5920,9.8647
921.2500,0.4260,112.3278,0.0947,0.0835,0.5591,295.8023,9.6992
922.5000,0.4222,143.0217,0.0815,0.0748,0.5159,298.3228,10.1818
923.7500,0.4107,131.9435,0.0614,0.1021,0.5299,296.3508,10.0684
925.0000,0.3878,101.2292,0.0811,0.0983,0.5789,291.4545,9.6320
926.2500,0.3166,175.1793,0.0677,0.0570,0.4822,287.8566,11.1380
927.5000,0.3319,244.6993,0.0532,0.0526,0.4313,291.7773,11.8009
928.7500,0.3662,137.7084,0.0455,0.1148,0.5224,292.3236,10.3454
930.0000,0.3802,96.6139,0.0559,0.1450,0.5879,290.3328,9.5674
931.2500,0.4590,99.9924,0.0600,0.1554,0.5812,296.7264,9.3763
932.5000,0.4908,144.3843,0.0527,0.1321,0.5142,304.4830,9.9494
933.7500,0.4692,64.2049,0.0878,0.1698,0.6737,290.1877,8.5642
935.0000,0.3560,36.1742,0.1285,0.1686,0.8157,278.0653,7.7826
936.2500,0.2658,22.6726,0.1099,0.2446,0.9532,275.7046,7.0809
937.5000,0.2645,37.4629,0.0795,0.1891,0.8063,277.0655,8.0420
938.7500,0.2238,50.0753,0.0614,0.1450,0.7319,275.4176,8.7883
940.0000,0.2136,68.2222,0.0551,0.1139,0.6602,273.5545,9.5510
941.2500,0.2734,133.8984,0.0500,0.0835,0.5273,280.8078,10.7902
942.5000,0.2861,102.7255,0.0550,0.1045,0.5760,281.6679,10.1050
943.7500,0.2276,84.6525,0.0552,0.1061,0.6144,274.5518,9.9855
945.0000,0.2365,73.0578,0.0611,0.1173,0.6453,275.7727,9.5877
946.2500,0.2785,52.6569,0.0719,0.1546,0.7198,278.6169,8.6933
947.5000,0.1742,16.3112,0.1159,0.2185,1.0638,285.8156,6.5587
948.7500,0.1729,47.0196,0.0772,0.1009,0.7475,272.5223,8.8789
950.0000,0.1946,39.1739,0.0667,0.1521,0.7943,275.2561,8.3554
951.2500,0.1971,33.1380,0.0678,0.1857,0.8399,276.5579,7.9770
952.5000,0.2238,58.8521,0.0471,0.1667,0.6936,274.9803,9.1532
953.7500,0.2073,32.0316,0.0607,0.2194,0.8495,276.7918,7.8739
955.0000,0.1869,21.1277,0.0752,0.2597,0.9759,281.0358,7.0578
956.2500,0.1475,23.0383,0.0683,0.2270,0.9481,283.0492,7.3215
957.5000,0.1590,60.8315,0.0584,0.1027,0.6860,268.2673,9.6136
958.7500,0.1958,85.5026,0.0455,0.1038,0.6124,270.2783,10.2224
960.0000,0.1780,46.1494,0.0478,0.1655,0.7521,273.0504,8.8078
