distance [mm],force_median [N],L2012_lambda [1/mm],L2012_f0 [N],L2012_delta [mm],L2012_L [mm],P2015_density [kg/m^3],P2015_ssa [m^2/kg]
916.2500,0.5201,123.5388,0.0633,0.1367,0.5417,304.3180,9.5784
917.5000,0.5023,91.7211,0.0744,0.1502,0.5982,298.1427,9.1048
918.7500,0.5862,120.5292,0.0878,0.1142,0.5462,308.2572,9.3609
920.0000,0.8876,80.3168,0.1642,0.1417,0.6253,311.0112,8.2477
921.2500,1.0491,221.7400,0.0732,0.1329,0.4457,347.0376,9.3290
922.5000,0.9919,215.9501,0.0766,0.1211,0.4497,343.6517,9.3919
923.7500,0.9499,106.8546,0.1083,0.1706,0.5685,322.1173,8.5407
925.0000,0.8342,123.1781,0.1097,0.1247,0.5422,321.6474,8.8999
926.2500,0.6358,73.8841,0.0816,0.2235,0.6429,300.0673,8.4802
927.5000,0.7121,59.3393,0.1031,0.2387,0.6917,296.5738,8.0491
928.7500,0.6816,77.4609,0.1034,0.1774,0.6329,303.0178,8.4775
930.0000,0.6053,156.4420,0.0587,0.1311,0.5007,314.3823,9.7459
931.2500,0.6358,163.8421,0.0586,0.1328,0.4930,317.3200,9.7410
932.5000,0.6714,115.4069,0.0819,0.1505,0.5541,312.2144,9.1007
933.7500,0.6167,40.0655,0.1342,0.2417,0.7884,283.1105,7.5987
935.0000,0.5760,53.3157,0.1037,0.2133,0.7168,290.0227,8.0736
936.2500,0.7693,54.8677,0.1334,0.2149,0.7100,295.4881,7.8753
937.5000,0.8253,92.4624,0.1259,0.1390,0.5966,313.2727,8.5166
938.7500,0.8647,129.9158,0.1090,0.1202,0.5327,324.4224,8.9241
940.0000,0.9028,175.1254,0.0695,0.1497,0.4822,334.0128,9.2685
941.2500,0.8418,77.0942,0.0936,0.2409,0.6339,308.3151,8.2488
942.5000,0.8049,104.6573,0.0912,0.1757,0.5725,315.9867,8.7186
943.7500,0.7833,371.1035,0.0428,0.0992,0.3754,342.7462,10.6222
945.0000,0.6968,130.2960,0.0698,0.1562,0.5321,316.3003,9.2354
946.2500,0.5824,134.5302,0.0527,0.1644,0.5265,310.0723,9.5542
947.5000,0.6053,117.6720,0.0578,0.1810,0.5505,308.9410,9.2757
948.7500,0.6231,261.7983,0.0400,0.1219,0.4217,324.4891,10.5584
950.0000,0.5226,144.1208,0.0575,0.1258,0.5146,306.9752,9.8438
951.2500,0.3993,90.6890,0.0455,0.1999,0.6005,291.1259,9.3785
952.5000,0.3955,64.2408,0.0636,0.2029,0.6736,286.6300,8.7388
953.7500,0.3255,38.9012,0.0825,0.2237,0.7962,278.4024,7.9732
955.0000,0.2632,56.2096,0.0398,0.2415,0.7043,277.8843,8.8849
