# Exported by snowmicropyn 1.2.1 (git hash 25c665906cd9d26085fa9eab6ba842a7f4b41101)
distance [mm],force [N]
2.6570,0.1105
2.6612,0.1091
2.6653,0.1118
2.6694,0.1064
2.6736,0.1118
2.6777,0.1105
2.6818,0.1118
2.6860,0.1105
2.6901,0.1131
2.6942,0.1078
2.6983,0.1118
2.7025,0.1131
2.7066,0.1105
2.7107,0.1118
2.7149,0.1091
2.7190,0.1091
2.7231,0.1131
2.7273,0.1145
2.7314,0.1118
2.7355,0.1105
2.7397,0.1105
2.7438,0.1105
2.7479,0.1105
2.7521,0.1105
2.7562,0.1078
2.7603,0.1118
2.7645,0.1064
2.7686,0.1091
2.7727,0.1105
2.7769,0.1105
2.7810,0.1118
2.7851,0.1078
2.7893,0.1131
2.7934,0.1131
2.7975,0.1105
2.8017,0.1118
2.8058,0.1105
2.8099,0.1105
2.8140,0.1078
2.8182,0.1091
2.8223,0.1105
2.8264,0.1105
2.8306,0.1078
2.8347,0.1105
2.8388,0.1078
2.8430,0.1118
2.8471,0.1091
2.8512,0.1078
2.8554,0.1145
2.8595,0.1078
2.8636,0.1105
2.8678,0.1118
2.8719,0.1118
2.8760,0.1105
2.8802,0.1118
2.8843,0.1118
2.8884,0.1091
2.8926,0.1105
2.8967,0.1091
2.9008,0.1105
2.9050,0.1105
2.9091,0.1105
2.9132,0.1091
2.9174,0.1078
2.9215,0.1091
2.9256,0.1078
2.9298,0.1091
2.9339,0.1105
2.9380,0.1105
2.9421,0.1078
2.9463,0.1131
2.9504,0.1091
2.9545,0.1118
2.9587,0.1105
2.9628,0.1091
2.9669,0.1118
2.9711,0.1105
2.9752,0.1118
2.9793,0.1105
2.9835,0.1105
2.9876,0.1091
2.9917,0.1091
2.9959,0.1091
3.0000,0.1064
3.0041,0.1091
3.0083,0.1078
3.0124,0.1091
3.0165,0.1105
3.0207,0.1118
3.0248,0.1064
3.0289,0.1105
3.0331,0.1091
3.0372,0.1078
3.0413,0.1131
3.0455,0.1091
3.0496,0.1118
3.0537,0.1118
3.0579,0.1118
3.0620,0.1105
3.0661,0.1091
3.0702,0.1091
3.0744,0.1105
3.0785,0.1105
3.0826,0.1118
3.0868,0.1105
3.0909,0.1118
3.0950,0.1091
3.0992,0.1105
3.1033,0.1091
3.1074,0.1078
3.1116,0.1105
3.1157,0.1091
3.1198,0.1105
3.1240,0.1091
3.1281,0.1091
3.1322,0.1091
3.1364,0.1064
3.1405,0.1118
3.1446,0.1091
3.1488,0.1064
3.1529,0.1091
3.1570,0.1078
3.1612,0.1105
3.1653,0.1091
3.1694,0.1091
3.1736,0.1091
3.1777,0.1118
3.1818,0.1131
3.1860,0.1064
3.1901,0.1118
3.1942,0.1118
3.1983,0.1118
3.2025,0.1091
3.2066,0.1105
3.2107,0.1105
3.2149,0.1091
3.2190,0.1118
3.2231,0.1105
3.2273,0.1091
3.2314,0.1131
3.2355,0.1078
3.2397,0.1118
3.2438,0.1091
3.2479,0.1158
3.2521,0.1064
3.2562,0.1105
3.2603,0.1118
3.2645,0.1078
3.2686,0.1105
3.2727,0.1078
3.2769,0.1078
3.2810,0.1105
3.2851,0.1105
3.2893,0.1091
3.2934,0.1105
3.2975,0.1091
3.3017,0.1091
3.3058,0.1118
3.3099,0.1078
3.3140,0.1105
3.3182,0.1131
3.3223,0.1105
3.3264,0.1118
3.3306,0.1118
3.3347,0.1105
3.3388,0.1118
3.3430,0.1118
3.3471,0.1064
3.3512,0.1118
3.3554,0.1118
3.3595,0.1118
3.3636,0.1105
3.3678,0.1118
3.3719,0.1118
3.3760,0.1105
3.3802,0.1091
3.3843,0.1091
3.3884,0.1131
3.3926,0.1064
3.3967,0.1105
3.4008,0.1118
3.4050,0.1118
3.4091,0.1091
3.4132,0.1118
3.4174,0.1091
3.4215,0.1091
3.4256,0.1118
3.4298,0.1064
3.4339,0.1118
3.4380,0.1105
3.4421,0.1078
3.4463,0.1105
3.4504,0.1118
3.4545,0.1118
3.4587,0.1118
3.4628,0.1131
3.4669,0.1091
3.4711,0.1078
3.4752,0.1118
3.4793,0.1078
3.4835,0.1118
3.4876,0.1078
3.4917,0.1091
3.4959,0.1105
3.5000,0.1078
3.5041,0.1105
3.5083,0.1078
3.5124,0.1078
3.5165,0.1131
3.5207,0.1091
3.5248,0.1078
3.5289,0.1118
3.5331,0.1078
3.5372,0.1091
3.5413,0.1131
3.5455,0.1105
3.5496,0.1091
3.5537,0.1105
3.5579,0.1105
3.5620,0.1091
3.5661,0.1118
3.5702,0.1064
3.5744,0.1105
3.5785,0.1131
3.5826,0.1105
3.5868,0.1131
3.5909,0.1118
3.5950,0.1131
3.5992,0.1091
3.6033,0.1091
3.6074,0.1091
3.6116,0.1091
3.6157,0.1131
3.6198,0.1105
3.6240,0.1091
3.6281,0.1091
3.6322,0.1091
3.6364,0.1078
3.6405,0.1105
3.6446,0.1091
3.6488,0.1078
3.6529,0.1105
3.6570,0.1078
3.6612,0.1118
3.6653,0.1078
3.6694,0.1105
3.6736,0.1091
3.6777,0.1105
3.6818,0.1131
3.6860,0.1118
3.6901,0.1105
3.6942,0.1091
3.6983,0.1145
3.7025,0.1091
3.7066,0.1118
3.7107,0.1131
3.7149,0.1105
3.7190,0.1118
3.7231,0.1118
3.7273,0.1078
3.7314,0.1105
3.7355,0.1118
3.7397,0.1105
3.7438,0.1131
3.7479,0.1118
3.7521,0.1105
3.7562,0.1105
3.7603,0.1091
3.7645,0.1091
3.7686,0.1118
3.7727,0.1091
3.7769,0.1105
3.7810,0.1118
3.7851,0.1091
3.7893,0.1105
3.7934,0.1091
3.7975,0.1078
3.8017,0.1105
3.8058,0.1145
